country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
Afghanistan,0,64385715,64385715,64385715,10741,103,214,267,225,268,172,274,122,92,109,134,60,15,9,0,0,0,32,26,46,47,15
Afghanistan,10,64385715,432115,126247,10741,92,190,253,207,246,159,259,112,74,94,116,41,2,4,0,0,0,28,19,40,37,9
Afghanistan,15,64385715,302660,106867,10741,91,186,247,205,240,156,256,110,73,92,114,40,2,3,0,0,0,28,18,39,32,8
Afghanistan,20,64385715,284357,105733,10741,89,180,245,203,238,153,254,108,71,88,114,40,2,3,0,0,0,28,18,39,32,8
Afghanistan,25,64385715,254867,72395,10741,89,180,245,202,237,153,254,108,71,88,114,39,1,3,0,0,0,27,18,38,28,7
Afghanistan,30,64385715,205791,71797,10741,88,179,244,201,236,152,253,107,70,88,113,39,1,3,0,0,0,26,17,37,26,6
Afghanistan,50,64385715,148430,46242,10741,78,135,200,159,170,112,201,84,48,61,94,30,1,2,0,0,0,19,15,33,23,5
Afghanistan,75,64385715,75486,18270,10741,47,61,96,61,64,43,83,28,21,24,41,14,0,0,0,0,0,10,8,19,9,2
Akrotiri and Dhekelia,0,23448,23448,23448,42,2,1,0,2,1,3,4,2,3,0,2,2,2,2,8,11,12,5,7,5,3,1
Akrotiri and Dhekelia,10,23448,1216,563,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,6,9,2,2,1,1,1,0
Akrotiri and Dhekelia,15,23448,875,457,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,6,9,2,1,1,1,1,0
Akrotiri and Dhekelia,20,23448,760,435,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,6,9,2,1,1,1,1,0
Akrotiri and Dhekelia,25,23448,524,410,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,2,1,1,1,1,0
Akrotiri and Dhekelia,30,23448,456,383,42,2,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,1,1,1,1,1,0
Akrotiri and Dhekelia,50,23448,336,238,42,1,1,0,2,0,2,3,1,3,0,1,2,1,1,5,9,1,1,1,0,1,0
Akrotiri and Dhekelia,75,23448,185,136,42,1,0,0,1,0,1,2,1,2,0,1,2,1,0,3,5,0,0,0,0,0,0
Albania,0,2873537,2873537,2873537,16472,3908,941,676,3456,761,1034,5515,5804,1464,754,1378,6101,3274,1420,427,1394,2872,2926,1626,1831,3267,3518
Albania,10,2873537,838912,712807,16472,3816,909,636,3328,719,987,5348,5609,1379,680,1257,5699,2842,1182,334,1108,2111,2345,1247,1311,2058,2442
Albania,15,2873537,776882,653386,16472,3784,897,629,3302,713,982,5327,5578,1366,674,1242,5626,2762,1154,325,1075,2025,2273,1212,1272,1972,2360
Albania,20,2873537,753090,641896,16472,3761,893,625,3274,707,977,5297,5542,1355,666,1230,5578,2726,1134,322,1052,1969,2234,1188,1241,1926,2319
Albania,25,2873537,706652,621131,16472,3739,890,617,3247,698,967,5240,5489,1341,659,1201,5481,2655,1100,309,1004,1854,2158,1145,1185,1824,2236
Albania,30,2873537,648680,589017,16472,3729,890,614,3237,695,963,5225,5471,1337,656,1188,5396,2570,1052,284,928,1689,2049,1074,1118,1686,2095
Albania,50,2873537,534848,428833,16472,3402,837,533,2994,631,901,4892,5034,1253,606,1034,4823,2223,941,254,758,1372,1798,947,940,1371,1778
Albania,75,2873537,363824,190809,16472,2582,706,374,2430,487,752,3947,4058,1018,502,789,3729,1637,729,198,524,930,1289,724,690,947,1197
Algeria,0,230804377,230804377,230804377,89152,3824,3292,4126,4990,4976,6126,5915,9228,11500,3047,8997,13643,12287,16309,9685,13016,63458,8842,11274,21526,32225,19554
Algeria,10,230804377,1690460,1102812,89152,3696,3144,3951,4558,4667,5645,5418,8295,10842,2728,8611,11856,8508,11455,6875,9425,51298,6883,7732,15541,24086,15478
Algeria,15,230804377,1472056,1001897,89152,3598,3091,3896,4475,4571,5554,5326,8147,10673,2677,8506,11552,7891,10738,6412,8884,49450,6389,7130,14608,22655,14691
Algeria,20,230804377,1419827,984682,89152,3534,3050,3865,4433,4530,5501,5272,8073,10575,2646,8449,11411,7645,10441,6240,8646,48566,6268,6910,14169,22140,14390
Algeria,25,230804377,1316669,865312,89152,3507,3026,3850,4401,4499,5450,5223,8009,10518,2620,8392,11190,7328,10067,6016,8373,47560,6030,6632,13711,21460,14042
Algeria,30,230804377,1223621,821606,89152,3469,3010,3831,4374,4470,5415,5202,7972,10467,2606,8344,10913,6927,9523,5707,8011,45979,5764,6291,13073,20473,13443
Algeria,50,230804377,895576,472785,89152,2427,2305,3019,3311,3401,4199,4160,6392,8507,2135,7192,8961,5045,6993,4267,6004,37696,4295,4620,9831,15636,10492
Algeria,75,230804377,496666,221058,89152,1191,1358,1783,1810,1847,2428,2465,3767,5235,1341,4996,5738,2427,3373,2224,3219,22665,2356,2263,5234,7981,5372
Andorra,0,45196,45196,45196,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,4,17,10,30,2,16
Andorra,10,45196,20720,20773,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,4,15,8,28,2,16
Andorra,15,45196,19989,20099,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,4,15,8,28,2,16
Andorra,20,45196,19750,19999,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,4,15,8,28,2,16
Andorra,25,45196,19350,19321,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,3,15,8,27,2,16
Andorra,30,45196,19004,18962,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,3,15,8,27,2,15
Andorra,50,45196,16889,16179,120,2,1,0,20,2,7,2,5,3,1,1,8,3,1,2,0,3,14,7,26,2,14
Andorra,75,45196,13314,12963,120,1,1,0,14,1,3,2,5,2,1,1,6,3,1,1,0,3,11,6,24,2,12
Angola,0,124742298,124742298,124742298,1224126,120500,73069,69075,98576,134515,108187,219070,158970,273509,198265,289270,255390,269281,300033,228809,334003,443264,372624,273117,394772,445303,391067
Angola,10,124742298,95924844,97293691,1224126,119564,72802,68662,97998,133592,107427,217437,157662,271114,197659,287249,252333,262775,295202,225772,329692,433935,365605,268187,386284,437032,385268
Angola,15,124742298,82782065,82189323,1224126,117418,71082,65156,92376,125049,100959,201788,146860,248920,191218,263088,239413,247337,283511,217286,317812,411015,348378,254982,366137,414275,369318
Angola,20,124742298,65933551,64925172,1224126,109107,65789,57538,80278,106299,86752,167039,121211,196835,173199,212132,203304,202099,244904,186674,268936,336707,287610,208876,298827,346869,311815
Angola,25,124742298,63332651,62622117,1224126,107777,64923,56585,78605,103832,84870,162582,117258,189788,170227,205916,198478,194989,238355,181423,261000,324898,278261,201664,288271,336233,302403
Angola,30,124742298,55292492,53847201,1224126,101221,61034,52462,71274,93435,76940,145287,103582,165948,159806,182928,180755,168841,212662,161719,229710,280456,242552,175098,248028,298294,266942
Angola,50,124742298,31917530,29980806,1224126,76820,43061,35582,43422,53063,48241,88808,56013,92730,111802,100568,113042,99292,135584,102506,137072,159388,146256,101978,133793,190583,158427
Angola,75,124742298,3783229,3335977,1224126,33919,12841,10509,7283,8737,4941,26871,9833,17251,18618,13063,19846,24412,30716,24278,33374,31640,37025,25262,24775,55699,34478
Anguilla,0,8332,8332,8332,70,4,1,6,16,6,3,11,15,3,1,1,3,2,1,0,0,5,0,0,0,3,0
Anguilla,10,8332,2895,1738,70,4,0,2,10,4,2,9,12,2,0,1,2,2,0,0,0,2,0,0,0,2,0
Anguilla,15,8332,2739,1705,70,4,0,1,10,4,2,9,11,2,0,1,2,2,0,0,0,1,0,0,0,2,0
Anguilla,20,8332,2571,1623,70,4,0,1,9,4,1,9,11,2,0,1,2,2,0,0,0,1,0,0,0,2,0
Anguilla,25,8332,2357,1510,70,4,0,1,9,4,1,9,11,2,0,1,2,1,0,0,0,1,0,0,0,2,0
Anguilla,30,8332,2126,1391,70,4,0,1,9,4,1,9,10,2,0,1,2,1,0,0,0,1,0,0,0,2,0
Anguilla,50,8332,1372,686,70,2,0,0,5,2,0,5,7,1,0,1,1,1,0,0,0,1,0,0,0,1,0
Anguilla,75,8332,507,205,70,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Antigua and Barbuda,0,43576,43576,43576,362,24,18,18,27,62,64,38,48,64,20,26,36,30,35,10,19,113,207,26,20,53,51
Antigua and Barbuda,10,43576,21229,21129,362,24,18,17,26,61,62,38,46,62,20,26,34,23,26,9,15,76,168,24,16,41,39
Antigua and Barbuda,15,43576,20627,21048,362,24,18,17,26,61,61,38,46,62,20,26,33,22,26,9,15,75,166,24,15,40,39
Antigua and Barbuda,20,43576,20238,20793,362,24,18,17,26,61,61,37,46,62,19,26,33,22,25,9,15,74,165,24,15,40,38
Antigua and Barbuda,25,43576,19811,20503,362,24,18,17,26,61,61,37,46,62,19,26,33,22,25,9,14,72,164,23,15,40,38
Antigua and Barbuda,30,43576,19323,19976,362,24,18,17,25,61,61,37,46,62,19,26,33,21,25,9,14,72,163,23,15,39,37
Antigua and Barbuda,50,43576,17271,16351,362,23,17,16,25,59,58,36,43,59,18,25,32,20,23,9,14,69,157,23,15,35,35
Antigua and Barbuda,75,43576,13990,11175,362,19,14,14,22,56,50,30,37,50,16,24,27,17,19,8,11,66,134,21,13,28,32
Argentina,0,278010122,278010122,278010122,1107735,193774,125284,318754,522351,428196,360895,481930,652237,332695,444171,538809,520574,443990,298700,211079,276653,290574,206917,179783,246213,261625,302086
Argentina,10,278010122,43380537,42607890,1107735,160343,110522,268465,458170,383842,328051,440263,608414,316430,420835,511199,487422,387826,249773,186232,239283,243577,178928,150799,206977,212081,243001
Argentina,15,278010122,42376954,41989977,1107735,155660,108760,261029,447394,376491,323444,433063,602654,313973,418050,508143,485353,385759,248094,185041,237454,241608,177749,149680,205190,210139,240968
Argentina,20,278010122,41252923,41262622,1107735,152069,107195,255875,441454,372946,320745,430210,598977,312456,416206,504556,482954,382827,245832,183529,235299,239093,176152,148329,202692,207345,238127
Argentina,25,278010122,40144116,39872011,1107735,150432,106459,253682,439054,371197,319433,428712,596840,311577,415215,502333,480844,380151,243707,181977,232945,236768,174817,147068,200255,204648,235629
Argentina,30,278010122,39086979,38380241,1107735,147806,105002,249155,433430,367249,316447,425345,592753,309858,413231,499187,478178,376777,241103,180233,230189,233920,172958,145444,197379,201882,232224
Argentina,50,278010122,23116356,23907653,1107735,102144,73470,132020,248387,228611,210531,247500,396089,206806,297486,355899,347089,253702,155456,119321,143415,159830,112695,98278,133587,136385,163232
Argentina,75,278010122,10594206,13568950,1107735,62985,49420,73653,122896,119548,108991,109386,176439,94054,127311,135981,141402,99050,52031,49173,50382,53602,32409,30943,44745,45551,54791
Armenia,0,2969009,2969009,2969009,12256,142,188,413,109,112,148,67,131,216,186,190,222,65,52,2,33,65,8,1,19,5,10
Armenia,10,2969009,384082,303011,12256,136,176,401,86,105,133,58,116,208,168,178,204,45,40,2,31,56,7,1,19,5,9
Armenia,15,2969009,365441,277049,12256,133,174,398,86,105,131,56,115,205,165,176,202,44,40,2,31,55,7,1,19,5,9
Armenia,20,2969009,357617,272004,12256,133,174,398,84,104,131,56,114,204,163,175,201,43,39,2,31,51,6,1,19,5,9
Armenia,25,2969009,346600,259475,12256,133,173,397,84,104,130,55,114,204,163,174,199,42,39,2,30,45,6,1,19,5,9
Armenia,30,2969009,336842,248992,12256,132,173,396,83,104,130,55,113,203,162,174,198,42,38,2,30,42,6,1,19,5,8
Armenia,50,2969009,294622,177146,12256,122,164,387,73,98,121,48,103,188,150,167,184,35,35,2,29,23,5,1,18,4,8
Armenia,75,2969009,224841,56961,12256,98,139,355,57,83,97,40,71,143,130,143,140,23,29,2,26,15,4,0,14,4,6
Aruba,0,18198,18198,18198,19,0,1,1,0,0,1,1,1,2,0,0,0,1,1,0,0,0,1,1,0,0,0
Aruba,10,18198,216,42,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,15,18198,140,41,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,20,18198,110,35,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,25,18198,41,28,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,30,18198,25,24,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,50,18198,16,8,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,75,18198,12,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,768791340,768791340,768791340,1600600,961029,556659,997500,255809,736690,399783,594789,354624,289054,479888,168504,193127,356589,565952,490294,680108,451951,532375,2214075,3335017,399128,203795
Australia,10,768791340,65911128,58963089,1600600,361867,386963,561317,155213,288960,249473,431482,263266,238484,389180,135332,156037,282234,338584,311409,498665,294518,334203,1823093,2633077,290477,134970
Australia,15,768791340,57538803,53297524,1600600,354838,383110,549885,151476,275732,244858,425296,259225,237122,385368,134382,154926,280172,334658,307691,494191,292692,328508,1814068,2617184,288432,133785
Australia,20,768791340,48215165,44951838,1600600,285712,344770,452331,138632,231679,226653,406187,245417,229660,369428,129775,149677,271761,310865,289316,470605,273241,298326,1760194,2529076,276246,127798
Australia,25,768791340,46634151,43325897,1600600,278270,342466,445644,134568,215929,218033,397830,235609,225669,360852,127605,147073,269566,307075,283623,463994,266998,288826,1742436,2499377,272984,126137
Australia,30,768791340,42280599,39480482,1600600,218816,312150,373847,124769,177024,186304,372717,205725,203711,290725,121316,139803,260094,281738,261575,430903,236876,250751,1661548,2356516,261044,118987
Australia,50,768791340,25719710,24451140,1600600,67023,84679,151950,94286,96246,114450,181580,127334,168109,87901,86676,88031,181744,192619,149473,305288,175039,155010,1227182,1951339,197488,80012
Australia,75,768791340,17781353,16932966,1600600,55260,63641,128963,80249,78646,89381,148656,93891,150407,74709,71314,67153,124932,134978,110261,207691,121618,102873,770430,1428178,145082,53710
Austria,0,8385802,8385802,8385802,36317,6988,10979,14557,14697,21798,12667,31847,27011,15980,16815,18165,11304,7978,10203,8096,17596,18932,26796,34305,26413,17018,20469
Austria,10,8385802,4515680,4571591,36317,6947,10929,14518,14636,21707,12614,31751,26947,15922,16751,18117,11194,7712,9949,7974,17293,18523,26429,33799,26047,16729,19996
Austria,15,8385802,4443050,4467515,36317,6939,10918,14505,14621,21688,12604,31722,26929,15910,16738,18108,11182,7689,9923,7963,17266,18482,26391,33746,26011,16701,19952
Austria,20,8385802,4417530,4450743,36317,6934,10913,14494,14613,21675,12596,31702,26918,15902,16729,18100,11174,7681,9909,7956,17252,18462,26371,33720,25990,16692,19932
Austria,25,8385802,4389131,4400704,36317,6930,10907,14483,14606,21665,12589,31683,26906,15894,16720,18095,11167,7667,9892,7948,17235,18437,26344,33686,25968,16677,19903
Austria,30,8385802,4336043,4348982,36317,6926,10902,14476,14599,21657,12584,31670,26896,15887,16713,18090,11158,7645,9870,7938,17210,18406,26310,33642,25937,16652,19865
Austria,50,8385802,4114725,4008210,36317,6828,10753,14270,14412,21411,12468,31317,26662,15748,16521,17949,11034,7470,9654,7841,16985,18141,25993,33173,25633,16435,19541
Austria,75,8385802,3394270,3202079,36317,6225,9874,13219,13319,19887,11730,29191,25231,14887,15414,16902,10315,6413,8297,7037,15349,16323,23526,29579,23263,14788,17516
Azerbaijan,0,8623533,8623533,8623533,30270,609,1268,1112,669,295,609,569,550,453,682,216,702,263,454,29,30,85,75,14,27,130,154
Azerbaijan,10,8623533,1488960,1261742,30270,575,1193,1062,615,261,550,527,494,394,582,159,623,164,352,28,26,81,75,14,24,100,148
Azerbaijan,15,8623533,1428540,1170419,30270,566,1174,1050,599,255,538,517,479,380,565,153,612,162,348,28,26,81,75,14,24,98,148
Azerbaijan,20,8623533,1389912,1154073,30270,562,1165,1047,596,252,532,513,476,378,560,151,608,157,340,27,26,81,75,14,24,96,148
Azerbaijan,25,8623533,1330925,1110570,30270,558,1161,1045,590,249,529,511,475,375,556,150,603,153,334,27,26,81,75,12,23,93,147
Azerbaijan,30,8623533,1268610,1082394,30270,553,1154,1039,585,246,525,508,472,372,550,147,598,149,328,27,25,80,75,12,23,85,146
Azerbaijan,50,8623533,1113390,873912,30270,488,1065,983,491,206,466,455,435,322,468,126,526,131,299,26,24,79,75,10,21,69,143
Azerbaijan,75,8623533,819515,566413,30270,356,786,788,322,135,347,317,325,232,310,89,345,80,189,24,21,74,63,6,15,56,123
Bahamas,0,1338763,1338763,1338763,6316,481,734,296,622,1483,1083,646,1996,854,418,648,446,2076,1528,1543,3994,6088,1209,2556,5485,2174,963
Bahamas,10,1338763,357636,382388,6316,446,711,284,603,1462,1043,621,1968,836,408,631,379,1691,1169,1226,3357,4395,996,1922,3266,1741,680
Bahamas,15,1338763,339973,377527,6316,443,708,282,598,1458,1036,616,1961,834,406,630,377,1659,1095,1187,3295,4169,975,1814,3063,1695,654
Bahamas,20,1338763,327747,364209,6316,436,705,279,595,1456,1031,613,1957,831,404,627,375,1623,1018,1146,3223,3995,948,1693,2890,1643,630
Bahamas,25,1338763,314078,354006,6316,435,703,277,592,1454,1026,609,1953,828,403,625,372,1591,944,1110,3167,3802,926,1598,2748,1584,608
Bahamas,30,1338763,303575,344168,6316,433,701,274,588,1450,1016,605,1949,824,401,625,371,1573,902,1089,3136,3704,914,1558,2696,1549,593
Bahamas,50,1338763,256960,264112,6316,411,667,257,542,1395,847,545,1881,741,381,603,342,1464,698,957,2909,3054,805,1315,2328,1340,487
Bahamas,75,1338763,199495,174372,6316,374,615,228,474,1261,614,429,1769,646,352,561,292,1310,462,731,2492,2018,612,1091,1956,1108,356
Bahrain,0,71518,71518,71518,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,10,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,15,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,20,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,25,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,30,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,50,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,75,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,13938437,13938437,13938437,317862,4655,4089,2215,4414,3362,7065,4167,4661,5817,4859,4391,5958,7891,15559,16504,28071,36457,25623,27686,27045,22097,17670
Bangladesh,10,13938437,2660673,3171857,317862,4609,4026,2177,4332,3319,6944,4060,4546,5699,4740,4261,5588,6806,13691,14349,24320,32070,22167,24846,24152,19684,15448
Bangladesh,15,13938437,2282749,2658755,317862,4603,4017,2171,4317,3310,6915,4042,4524,5675,4719,4234,5495,6477,13016,13644,23001,30503,21010,23657,22984,18763,14729
Bangladesh,20,13938437,2194962,2592261,317862,4599,4011,2166,4306,3306,6899,4027,4512,5660,4705,4215,5466,6397,12880,13466,22720,30188,20756,23443,22772,18578,14576
Bangladesh,25,13938437,2076172,2498311,317862,4590,4002,2163,4290,3299,6880,4010,4495,5644,4684,4198,5445,6354,12799,13387,22558,30000,20599,23327,22656,18481,14483
Bangladesh,30,13938437,1938958,2216745,317862,4587,3995,2159,4283,3293,6863,3995,4480,5625,4668,4181,5359,6022,12061,12604,21196,28377,19343,22079,21475,17587,13798
Bangladesh,50,13938437,1522871,1504904,317862,4507,3866,2087,4077,3197,6557,3762,4242,5355,4420,3976,5102,5482,11039,11338,19238,25939,17501,20410,19775,16073,12572
Bangladesh,75,13938437,685584,606821,317862,3911,3124,1684,2998,2645,4985,2722,3120,3958,3107,3035,3908,3216,6445,6518,11094,15179,9823,12169,11775,9228,7166
Barbados,0,43466,43466,43466,377,18,16,5,11,14,7,40,16,20,22,20,124,22,13,2,19,20,26,57,32,36,10
Barbados,10,43466,6068,7060,377,14,13,4,9,11,5,34,14,15,18,19,120,6,2,2,15,16,23,54,24,19,6
Barbados,15,43466,5760,6994,377,14,13,3,8,10,5,34,14,14,18,19,119,6,2,2,15,16,23,54,23,18,5
Barbados,20,43466,5590,6842,377,13,12,3,8,10,4,33,14,14,18,18,118,5,2,2,15,16,23,54,23,18,5
Barbados,25,43466,5433,6682,377,13,12,3,8,10,4,32,14,14,18,18,118,5,2,2,14,16,23,54,22,18,5
Barbados,30,43466,5230,6351,377,12,11,3,8,10,4,32,14,13,17,18,117,5,2,2,14,16,23,54,22,17,5
Barbados,50,43466,4619,4960,377,8,9,2,7,7,2,27,11,11,15,17,112,5,2,2,14,15,22,52,20,15,5
Barbados,75,43466,3593,3748,377,5,6,1,5,3,1,19,9,8,11,15,100,4,1,2,10,13,20,48,16,12,4
Belarus,0,20706912,20706912,20706912,963616,18549,25629,32318,38866,36420,42549,32868,36123,35826,35984,45715,40213,29018,34658,35207,94630,81900,90475,77429,70953,65189,67455
Belarus,10,20706912,9666452,10176808,963616,18474,25518,32241,38739,36301,42386,32751,35986,35664,35835,45490,39738,28349,33948,34364,92108,79826,88637,75889,69579,63974,65648
Belarus,15,20706912,9467496,9865243,963616,18417,25462,32192,38684,36254,42330,32706,35947,35615,35801,45440,39681,28261,33833,34198,91576,79463,88252,75603,69354,63797,65402
Belarus,20,20706912,9376194,9789429,963616,18386,25425,32154,38639,36223,42300,32681,35924,35571,35779,45408,39647,28225,33789,34128,91354,79296,88048,75482,69256,63724,65303
Belarus,25,20706912,9268767,9632412,963616,18373,25408,32136,38619,36208,42286,32670,35911,35556,35767,45387,39625,28168,33723,34032,91022,79086,87798,75311,69127,63627,65176
Belarus,30,20706912,9118586,9486572,963616,18359,25383,32119,38597,36192,42269,32657,35896,35543,35754,45367,39591,28085,33626,33899,90487,78767,87447,75049,68932,63479,64995
Belarus,50,20706912,8384058,8482951,963616,17702,24310,31052,37532,35389,41383,32007,35319,34896,35298,44825,39066,27279,32760,32732,85982,75113,82879,72072,66645,61782,63187
Belarus,75,20706912,5798099,5011439,963616,14886,19679,25050,31352,30202,35372,27728,31213,30958,31453,40085,34877,20188,25222,24910,60727,49635,48747,47587,46598,45265,47654
Belgium,0,3070744,3070744,3070744,41687,1028,2387,1934,4888,3091,7000,6045,7294,5286,10995,5090,5769,3465,4441,3605,4876,4576,5060,6031,5872,9666,5425
Belgium,10,3070744,972707,981723,41687,988,2358,1902,4823,3050,6947,6010,7247,5208,10950,5036,5658,3344,4278,3454,4579,4223,4725,5681,5487,9248,4935
Belgium,15,3070744,927599,936073,41687,981,2355,1895,4810,3040,6936,5999,7233,5193,10935,5027,5647,3334,4264,3442,4559,4197,4695,5650,5463,9215,4902
Belgium,20,3070744,913585,929385,41687,978,2352,1893,4803,3037,6930,5994,7225,5187,10928,5023,5642,3330,4257,3436,4546,4181,4679,5630,5448,9196,4884
Belgium,25,3070744,892226,912855,41687,974,2350,1892,4798,3032,6923,5989,7219,5181,10919,5021,5638,3324,4251,3430,4532,4163,4661,5607,5428,9172,4862
Belgium,30,3070744,865426,890289,41687,971,2348,1890,4793,3028,6916,5985,7214,5176,10909,5016,5635,3315,4239,3420,4512,4137,4631,5577,5409,9143,4834
Belgium,50,3070744,778290,778429,41687,927,2310,1843,4678,2938,6802,5885,7093,5082,10743,4958,5583,3261,4160,3344,4359,3971,4446,5348,5224,8917,4652
Belgium,75,3070744,576914,553588,41687,733,2029,1630,4082,2541,6042,5323,6335,4585,9695,4635,5293,2999,3723,2908,3700,3368,3750,4400,4375,7750,3950
Belize,0,2198946,2198946,2198946,18602,8295,13596,6887,4350,8153,4296,12329,8250,10296,9792,26448,11617,16615,16909,12613,20863,17127,11538,19443,26858,9607,8584
Belize,10,2198946,1776902,1793034,18602,8232,13519,6860,4325,8124,4277,12288,8230,10276,9775,26408,11546,16422,16551,12335,20594,16529,11257,18603,26586,9367,8250
Belize,15,2198946,1768313,1786397,18602,8226,13508,6856,4321,8119,4276,12282,8226,10273,9773,26403,11541,16406,16529,12317,20570,16486,11231,18548,26564,9342,8229
Belize,20,2198946,1761509,1778513,18602,8220,13498,6851,4318,8115,4273,12276,8223,10270,9771,26396,11536,16393,16509,12303,20550,16446,11207,18501,26546,9326,8207
Belize,25,2198946,1754440,1764978,18602,8216,13486,6848,4316,8110,4272,12271,8220,10268,9769,26392,11533,16385,16491,12290,20534,16409,11187,18441,26533,9309,8194
Belize,30,2198946,1748276,1751344,18602,8212,13474,6844,4312,8104,4270,12264,8216,10264,9766,26386,11528,16373,16465,12271,20511,16366,11164,18373,26512,9290,8172
Belize,50,2198946,1710654,1663792,18602,8120,13246,6766,4251,8028,4222,12142,8160,10206,9722,26288,11478,16287,16306,12158,20366,16036,10996,17956,26381,9159,8048
Belize,75,2198946,1643083,1571956,18602,7841,12581,6491,4060,7699,4056,11621,7945,9957,9536,25928,11291,16011,15860,11857,19936,15029,10501,17109,25994,8815,7730
Benin,0,11542318,11542318,11542318,181408,18096,20800,30447,4056,35690,12309,57597,6044,78261,2760,7979,62686,39083,44195,22495,26440,44774,46610,25508,39336,40177,56640
Benin,10,11542318,8884305,7732652,181408,17791,20419,30092,3985,35046,12139,56662,5881,77488,2732,7844,61098,36789,42560,21937,26183,43952,45889,25077,38849,39279,55683
Benin,15,11542318,4564313,4255392,181408,10308,12639,19269,2499,18584,7218,33454,2980,44353,1775,4278,24892,22281,28591,15046,21557,33160,34826,18098,31399,28371,40056
Benin,20,11542318,834666,1385168,181408,5184,6031,6958,1178,4119,3152,9739,868,12200,919,1196,6127,5028,6683,2860,6346,8225,8656,3807,8067,7059,9203
Benin,25,11542318,605231,1073313,181408,4774,5183,5648,1034,3182,2691,8000,738,9642,812,1023,4835,3888,4991,2070,5127,6500,6617,2872,6093,5465,6746
Benin,30,11542318,168568,435563,181408,3749,3480,3476,684,1591,1795,4660,482,4929,529,655,2865,1313,1358,598,2016,2238,1826,775,1606,1705,1674
Benin,50,11542318,9000,14047,181408,1882,924,805,115,249,318,844,81,803,99,95,522,29,23,8,59,37,18,6,16,15,15
Benin,75,11542318,841,145,181408,304,114,110,6,26,19,76,5,88,4,3,37,1,1,0,0,0,0,0,0,0,0
Bermuda,0,6808,6808,6808,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
Bermuda,10,6808,713,1018,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
Bermuda,15,6808,679,860,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
Bermuda,20,6808,658,811,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
Bermuda,25,6808,640,796,0,0,1,0,1,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0
