country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Afghanistan,0,64385715,25912558,0,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,10,432115,21758845,50,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,15,302660,16568110,55,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,20,284357,15782996,56,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,25,254867,14538150,57,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,30,205791,12410476,60,16684.0,432080.0,-415395.0,23243.0,39291.0,48188.0,33916.0,41449.0,23563.0,42479.0,19255.0,14275.0,14724.0,19826.0,10080.0,295.0,705.0,0.0,0.0,0.0,5349.0,3982.0,15023.0,8975.0,2437.0
Afghanistan,50,148430,9766233,66,13750.0,309352.0,-295602.0,21247.0,30838.0,41134.0,28177.0,31731.0,18257.0,35235.0,15722.0,10572.0,11195.0,17328.0,8480.0,186.0,464.0,0.0,0.0,0.0,4365.0,3620.0,13703.0,8064.0,2190.0
Afghanistan,75,75486,5572051,74,6664.0,169317.0,-162653.0,13135.0,14581.0,21656.0,12427.0,13389.0,7717.0,16340.0,6407.0,5054.0,4960.0,8634.0,4248.0,46.0,125.0,0.0,0.0,0.0,2260.0,1894.0,8949.0,3862.0,922.0
Akrotiri and Dhekelia,0,23448,55601,2,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,10,1216,49982,41,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,15,875,36616,42,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,20,760,32277,42,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,25,524,23021,44,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,30,456,20529,45,618.0,1592.0,-974.0,383.0,144.0,0.0,493.0,47.0,582.0,986.0,407.0,1005.0,45.0,455.0,955.0,443.0,437.0,2779.0,2967.0,430.0,350.0,234.0,177.0,247.0,39.0
Akrotiri and Dhekelia,50,336,16116,48,579.0,1206.0,-626.0,345.0,144.0,0.0,493.0,20.0,558.0,805.0,336.0,984.0,45.0,389.0,955.0,429.0,397.0,2714.0,2951.0,383.0,277.0,234.0,45.0,203.0,39.0
Akrotiri and Dhekelia,75,185,9639,52,396.0,743.0,-347.0,204.0,98.0,0.0,464.0,20.0,352.0,627.0,195.0,853.0,45.0,349.0,955.0,360.0,142.0,1646.0,2048.0,147.0,34.0,128.0,0.0,0.0,39.0
Albania,0,2873537,47749049,17,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,10,838912,46286188,55,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,15,776882,44568875,57,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,20,753090,43880147,58,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,25,706652,42581585,60,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,30,648680,40971858,63,710878.0,5107003.0,-4396125.0,1367093.0,338115.0,178669.0,1353404.0,275449.0,423188.0,1627032.0,1814519.0,570717.0,279911.0,347756.0,2078723.0,894963.0,446792.0,117021.0,329080.0,443957.0,726792.0,426948.0,431161.0,503544.0,664476.0
Albania,50,534848,37251527,70,673261.0,4298551.0,-3625290.0,1310578.0,328542.0,168340.0,1305313.0,263343.0,410283.0,1581366.0,1740409.0,553432.0,269786.0,327869.0,1975027.0,826845.0,420477.0,111002.0,300299.0,398849.0,671414.0,402613.0,394407.0,447006.0,604531.0
Albania,75,363824,28770150,79,568927.0,3007949.0,-2439022.0,1100431.0,293750.0,137329.0,1137199.0,221575.0,365858.0,1392154.0,1506534.0,488066.0,239003.0,280642.0,1680290.0,669486.0,354694.0,94726.0,243247.0,311761.0,527699.0,338397.0,324549.0,346304.0,462692.0
Algeria,0,230804377,87699737,0,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,10,1690460,85606332,51,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,15,1472056,75946710,52,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,20,1419827,73659447,52,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,25,1316669,69130390,53,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,30,1223621,64837658,53,3010948.0,4628792.0,-1617845.0,984310.0,872032.0,1154237.0,1271488.0,1327584.0,1663921.0,1608741.0,2574394.0,3472906.0,824857.0,2754129.0,3588404.0,2210941.0,2835988.0,1860693.0,2676801.0,14974114.0,1998612.0,2079767.0,4285683.0,6951578.0,4269666.0
Algeria,50,895576,50670776,57,2477717.0,3384339.0,-906622.0,742277.0,706448.0,945710.0,1015190.0,1063507.0,1352687.0,1342306.0,2128786.0,2886949.0,698264.0,2448162.0,3095130.0,1731964.0,2221912.0,1477051.0,2153484.0,12898278.0,1568175.0,1594841.0,3377242.0,5638465.0,3422949.0
Algeria,75,496666,31043119,63,1526289.0,1919503.0,-393214.0,398744.0,448455.0,587209.0,592230.0,622394.0,830359.0,840205.0,1302652.0,1845758.0,457224.0,1781263.0,2145192.0,961084.0,1237109.0,866664.0,1307906.0,8500576.0,936352.0,850768.0,1952569.0,3223848.0,1889790.0
Andorra,0,45196,1651488,37,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,10,20720,1629863,79,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,15,19989,1599307,80,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,20,19750,1588878,80,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,25,19350,1571699,81,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,30,19004,1556611,82,3391.0,249949.0,-246558.0,572.0,517.0,128.0,8216.0,948.0,2875.0,1064.0,2984.0,1365.0,654.0,449.0,4191.0,1849.0,756.0,1243.0,322.0,2120.0,9398.0,4581.0,18551.0,1536.0,10294.0
Andorra,50,16889,1459385,86,3254.0,222388.0,-219134.0,547.0,505.0,115.0,7661.0,906.0,2842.0,1009.0,2914.0,1288.0,654.0,430.0,4134.0,1827.0,692.0,1107.0,239.0,2069.0,9165.0,4308.0,17988.0,1508.0,9681.0
Andorra,75,13314,1249918,94,2795.0,175285.0,-172490.0,466.0,438.0,44.0,6097.0,571.0,1527.0,855.0,2804.0,861.0,544.0,336.0,3587.0,1802.0,668.0,744.0,175.0,1811.0,7759.0,3778.0,16750.0,1442.0,8422.0
Angola,0,124742298,3706823626,30,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,10,95924844,3673087275,38,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,15,82782065,3448348600,42,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,20,65933551,3113075427,47,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,25,63332651,3058150015,48,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,30,55292492,2881046254,52,57315028.0,171290707.0,-113975679.0,37420941.0,20261194.0,16476884.0,21257529.0,27081086.0,22432289.0,47840166.0,30890637.0,52360120.0,51905267.0,56819738.0,58176390.0,56293799.0,72226967.0,56624187.0,80294271.0,95336190.0,88020483.0,62345975.0,85360852.0,118887002.0,102618656.0
Angola,50,31917530,2123773126,67,42306675.0,101936933.0,-59630258.0,32754040.0,16790205.0,13406800.0,15600145.0,19223054.0,16439958.0,35975339.0,21070526.0,36194595.0,41561265.0,38360342.0,42742471.0,40480906.0,54803226.0,43298315.0,58565656.0,66471014.0,65290176.0,44940784.0,57481297.0,93076570.0,76220163.0
Angola,75,3783229,420626761,111,14220384.0,21513748.0,-7293364.0,19687872.0,7436152.0,6042326.0,4165149.0,4989412.0,2737687.0,15662157.0,5699404.0,10182118.0,10611866.0,7575252.0,11578560.0,14356447.0,17279971.0,14314720.0,19693332.0,18962867.0,22480156.0,15308242.0,15675733.0,40263347.0,28145676.0
Anguilla,0,8332,96727,12,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,10,2895,93654,32,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,15,2739,89013,33,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,20,2571,84066,33,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,25,2357,77777,33,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,30,2126,70874,33,459.0,8349.0,-7889.0,650.0,30.0,181.0,1647.0,715.0,259.0,1729.0,2249.0,403.0,97.0,208.0,424.0,299.0,94.0,0.0,0.0,391.0,84.0,0.0,47.0,531.0,63.0
Anguilla,50,1372,47362,35,273.0,5599.0,-5326.0,280.0,30.0,27.0,937.0,389.0,88.0,1053.0,1468.0,235.0,35.0,122.0,294.0,212.0,76.0,0.0,0.0,245.0,84.0,0.0,47.0,314.0,63.0
Anguilla,75,507,19034,38,120.0,2363.0,-2243.0,107.0,0.0,15.0,250.0,179.0,15.0,488.0,583.0,89.0,21.0,49.0,92.0,94.0,14.0,0.0,0.0,153.0,84.0,0.0,24.0,314.0,63.0
Antigua and Barbuda,0,43576,1056153,24,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,10,21229,1019133,48,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,15,20627,1000450,49,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,20,20238,988221,49,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,25,19811,974651,49,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,30,19323,958741,50,12941.0,94227.0,-81286.0,7175.0,5254.0,5360.0,8176.0,22339.0,19099.0,11127.0,15134.0,22496.0,6720.0,9031.0,10764.0,6448.0,7452.0,2799.0,4002.0,21874.0,56781.0,7106.0,5459.0,14434.0,15679.0
Antigua and Barbuda,50,17271,892227,52,12564.0,86190.0,-73626.0,7015.0,5081.0,5242.0,7991.0,21919.0,18534.0,10847.0,14589.0,21891.0,6580.0,8973.0,10537.0,6120.0,6992.0,2725.0,3892.0,21133.0,55464.0,6945.0,5328.0,13435.0,15170.0
Antigua and Barbuda,75,13990,771953,55,11426.0,72825.0,-61399.0,6083.0,4434.0,4717.0,7396.0,21162.0,16739.0,9592.0,13224.0,19881.0,6072.0,8616.0,9249.0,5592.0,5986.0,2523.0,3274.0,20194.0,49425.0,6515.0,4848.0,11771.0,14083.0
Argentina,0,278010122,1566609884,6,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,10,43380537,1534472722,35,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,15,42376954,1514908014,36,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,20,41252923,1491189700,36,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,25,40144116,1467224245,37,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,30,39086979,1446602891,37,71372263.0,183659248.0,-112286985.0,32292046.0,25004535.0,48579741.0,85852590.0,78837996.0,72117086.0,86565780.0,132149187.0,70185438.0,95269552.0,110402443.0,115023065.0,95118099.0,61832079.0,51076717.0,60819232.0,64162309.0,45488687.0,40706135.0,54642935.0,64851616.0,79212518.0
Argentina,50,23116356,1110368974,48,56659389.0,121738234.0,-65078845.0,26900546.0,21169979.0,34942513.0,62894492.0,60883058.0,58457499.0,63958501.0,104535841.0,55636407.0,79080427.0,89687436.0,94731303.0,76030486.0,48630005.0,41484638.0,46784652.0,51677635.0,35183580.0,32050592.0,42601157.0,53121550.0,66064252.0
Argentina,75,10594206,691654127,65,33748087.0,62627705.0,-28879618.0,20126354.0,16933538.0,24938693.0,40840194.0,41597861.0,40174092.0,39269335.0,63091869.0,34652501.0,46981033.0,47280119.0,53342144.0,43473672.0,26250551.0,25613017.0,25814594.0,27339376.0,16577387.0,15348795.0,20780573.0,32084201.0,39948007.0
Armenia,0,2969009,22576077,8,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,10,384082,21813184,57,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,15,365441,21115445,58,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,20,357617,20824481,58,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,25,346600,20397128,59,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,30,336842,20032792,59,31718.0,1919615.0,-1887896.0,39946.0,52073.0,130764.0,25761.0,30980.0,40500.0,17611.0,35813.0,60998.0,60059.0,64601.0,67861.0,14904.0,15089.0,805.0,12039.0,11047.0,1989.0,264.0,8284.0,2467.0,3946.0
Armenia,50,294622,18365585,62,30458.0,1720915.0,-1690457.0,38183.0,50594.0,129290.0,23818.0,29904.0,38835.0,16301.0,33689.0,58193.0,57480.0,63266.0,65309.0,13574.0,14308.0,805.0,11697.0,8409.0,1876.0,245.0,8178.0,2280.0,3849.0
Armenia,75,224841,14971525,67,26707.0,1354556.0,-1327850.0,33002.0,45969.0,122632.0,20121.0,26759.0,33481.0,14424.0,24673.0,47298.0,52520.0,57435.0,54829.0,10087.0,12707.0,704.0,10904.0,6358.0,1555.0,201.0,6697.0,2167.0,3022.0
Aruba,0,18198,9048,0,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,10,216,6459,30,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,15,140,4201,30,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,20,110,3305,30,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,25,41,1180,29,,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,30,25,665,27,17.0,537.0,-520.0,0.0,28.0,66.0,0.0,0.0,44.0,0.0,0.0,57.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0
Aruba,50,16,402,25,16.0,519.0,-503.0,0.0,28.0,66.0,0.0,0.0,44.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0
Aruba,75,12,286,24,14.0,514.0,-500.0,0.0,28.0,66.0,0.0,0.0,44.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0
Australia,0,768791340,3338530530,4,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,10,65911128,3293496718,50,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,15,57538803,3081293225,54,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,20,48215165,2748624245,57,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,25,46634151,2686125624,58,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,30,42280599,2535717794,60,104478867.0,308253692.0,-203774825.0,28262425.0,36810891.0,60699174.0,36375750.0,39738612.0,43980589.0,78240409.0,49080441.0,63425159.0,48932084.0,43825719.0,45021090.0,75061536.0,83549012.0,70091416.0,126908104.0,90160977.0,79668512.0,361196739.0,685385988.0,100850472.0,51269985.0
Australia,50,25719710,1820995374,71,90397943.0,247116953.0,-156719011.0,21023139.0,24998113.0,48672167.0,32781069.0,34022986.0,38141331.0,62546510.0,43099514.0,60159439.0,38224823.0,40282961.0,39399380.0,64438538.0,69900860.0,57054075.0,109608634.0,78108301.0,66454751.0,297280937.0,629823740.0,88983117.0,43750360.0
Australia,75,17781353,1340554375,75,71777979.0,191839253.0,-120061275.0,18523330.0,21580872.0,43336568.0,29369646.0,30140545.0,32964287.0,56047971.0,37074777.0,55542026.0,34930926.0,36283763.0,34093323.0,48997267.0,55239258.0,46371853.0,86443852.0,62282299.0,51432432.0,201864418.0,487542278.0,73400408.0,35653435.0
Austria,0,8385802,371003206,44,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,10,4515680,366945557,81,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,15,4443050,364772965,82,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,20,4417530,363992440,82,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,25,4389131,363144934,83,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,30,4336043,361556731,83,8927936.0,30211504.0,-21283568.0,2790464.0,4488298.0,5809045.0,6334044.0,10000653.0,6069800.0,15467961.0,13383366.0,7767725.0,8009903.0,9316772.0,5688617.0,3842456.0,4964820.0,4189824.0,9299070.0,9992363.0,14957036.0,18600670.0,14780135.0,9322432.0,11339135.0
Austria,50,4114725,353933691,86,8872853.0,28570479.0,-19697625.0,2774292.0,4461208.0,5768825.0,6297181.0,9950467.0,6045465.0,15389809.0,13331066.0,7735879.0,7964841.0,9281827.0,5657202.0,3797799.0,4908943.0,4164214.0,9238050.0,9920049.0,14867039.0,18463533.0,14691655.0,9256474.0,11236957.0
Austria,75,3394270,314800618,93,8332882.0,23325150.0,-14992268.0,2616726.0,4223096.0,5480597.0,5973980.0,9471622.0,5804926.0,14673336.0,12854564.0,7436215.0,7594537.0,8892469.0,5396771.0,3413261.0,4403868.0,3853344.0,8598462.0,9203771.0,13824556.0,16981288.0,13668847.0,8580820.0,10376352.0
Azerbaijan,0,8623533,78335372,9,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,10,1488960,75761154,51,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,15,1428540,73851505,52,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,20,1389912,72633926,52,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,25,1330925,70817736,53,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,30,1268610,68892593,54,105272.0,10819736.0,-10714464.0,153394.0,293401.0,331129.0,157771.0,66705.0,146923.0,143096.0,137412.0,117679.0,174590.0,47009.0,182159.0,52395.0,73390.0,7646.0,9923.0,39738.0,38576.0,5158.0,10263.0,44392.0,83244.0
Azerbaijan,50,1113390,63653733,57,98543.0,9680825.0,-9582282.0,142945.0,278949.0,321366.0,138866.0,59239.0,136899.0,133526.0,130392.0,106898.0,156888.0,42641.0,168220.0,48458.0,68096.0,7494.0,9633.0,39438.0,38576.0,4516.0,9925.0,42710.0,82270.0
Azerbaijan,75,819515,50693393,62,76843.0,7237851.0,-7161008.0,114562.0,218674.0,274853.0,97296.0,42353.0,109849.0,100155.0,102170.0,80672.0,113717.0,32088.0,120784.0,31455.0,42488.0,7261.0,8706.0,37685.0,33049.0,2888.0,7666.0,38576.0,73592.0
Bahamas,0,1338763,12244917,9,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,10,357636,11130862,31,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,15,339973,10734680,32,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,20,327747,10445461,32,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,25,314078,10118865,32,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,30,303575,9864996,32,402851.0,2848467.0,-2445617.0,87770.0,190188.0,60170.0,136602.0,325003.0,239825.0,160145.0,563288.0,230874.0,111203.0,180507.0,125822.0,554117.0,307442.0,353124.0,886236.0,1594155.0,362363.0,519439.0,1023359.0,607182.0,243903.0
Bahamas,50,256960,8637039,34,360819.0,2611232.0,-2250413.0,84655.0,184460.0,57552.0,128035.0,315191.0,205238.0,147091.0,547940.0,211658.0,106908.0,174862.0,116471.0,518554.0,250907.0,316333.0,811386.0,1361363.0,325670.0,441727.0,891433.0,532577.0,208005.0
Bahamas,75,199495,6888779,35,297703.0,2316128.0,-2018425.0,78745.0,175107.0,52209.0,114910.0,288135.0,154414.0,119937.0,522753.0,188304.0,99937.0,163398.0,100259.0,462808.0,177931.0,246422.0,660502.0,963320.0,257245.0,367220.0,752758.0,445631.0,157528.0
Bahrain,0,71518,43,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,30,0,0,0,0.0,-9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,50,0,0,0,0.0,-9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,75,0,0,0,0.0,-9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangladesh,0,13938437,221955077,16,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,10,2660673,212892649,80,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,15,2282749,193964458,85,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,20,2194962,189071192,86,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,25,2076172,182224033,88,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,30,1938958,174161146,90,5630833.0,19525655.0,-13894822.0,2305909.0,1944417.0,1035254.0,2013072.0,1667996.0,3428234.0,1958807.0,2210967.0,2821552.0,2281933.0,2126000.0,2875417.0,3177171.0,6392284.0,6820933.0,11658598.0,15888417.0,10763896.0,12259178.0,11979018.0,10203206.0,8066065.0
Bangladesh,50,1522871,146089219,96,5344606.0,18116769.0,-12772164.0,2281663.0,1908046.0,1016515.0,1952471.0,1638227.0,3333681.0,1886915.0,2135795.0,2736013.0,2202270.0,2063228.0,2793486.0,3000083.0,6037771.0,6389901.0,10958641.0,15019587.0,10098509.0,11597176.0,11303569.0,9634065.0,7593721.0
Bangladesh,75,685584,74514085,109,3660370.0,15173947.0,-11513578.0,2050539.0,1637438.0,868056.0,1521840.0,1407587.0,2673988.0,1465338.0,1662504.0,2133002.0,1653770.0,1666182.0,2272670.0,2004482.0,3955677.0,4185393.0,7173523.0,9923168.0,6452877.0,7450164.0,7261423.0,6224078.0,4884434.0
Barbados,0,43466,386940,9,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,10,6068,365603,60,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,15,5760,354742,62,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,20,5590,348389,62,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,25,5433,342505,63,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,30,5230,334758,64,7112.0,18913.0,-11802.0,3382.0,3300.0,863.0,2887.0,2635.0,1189.0,10782.0,4930.0,4115.0,5712.0,6952.0,47124.0,1904.0,700.0,901.0,4821.0,6070.0,8467.0,22756.0,7729.0,7388.0,1846.0
Barbados,50,4619,310241,67,6738.0,16884.0,-10146.0,2660.0,2844.0,744.0,2700.0,2209.0,821.0,9725.0,4416.0,3647.0,5271.0,6718.0,46062.0,1798.0,582.0,862.0,4753.0,5974.0,8186.0,22377.0,7146.0,7027.0,1727.0
Barbados,75,3593,256549,71,5917.0,13465.0,-7548.0,1926.0,2098.0,489.0,2194.0,1261.0,527.0,7794.0,3792.0,2979.0,4268.0,6081.0,42627.0,1585.0,311.0,842.0,3762.0,5010.0,7655.0,21200.0,5908.0,6297.0,1565.0
Belarus,0,20706912,442625862,21,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,10,9666452,440872187,46,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,15,9467496,438984767,46,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,20,9376194,438087439,47,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,25,9268767,437064495,47,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,30,9118586,435669246,48,16979170.0,65334587.0,-48355418.0,4984366.0,6914385.0,9216114.0,11492162.0,11090352.0,13127426.0,10296326.0,11590117.0,11842644.0,12180352.0,15936962.0,14121781.0,10002258.0,12184752.0,12222640.0,33321580.0,29546038.0,33366404.0,29098244.0,27657457.0,26157085.0,27192284.0
Belarus,50,8384058,427106558,51,16708661.0,60920448.0,-44211787.0,4931198.0,6820535.0,9086381.0,11376002.0,10990398.0,13017167.0,10210633.0,11514651.0,11758479.0,12111107.0,15851088.0,14033886.0,9862919.0,12033692.0,12031349.0,32423957.0,28828202.0,32413822.0,28509058.0,27168664.0,25802740.0,26814610.0
Belarus,75,5798099,329426777,57,13188825.0,43539458.0,-30350633.0,4404488.0,5936475.0,7782837.0,9997492.0,9775698.0,11567242.0,9141070.0,10472320.0,10720386.0,11048639.0,14501510.0,12810222.0,7649317.0,9646007.0,9584683.0,24184406.0,20187692.0,20293169.0,19903241.0,19881515.0,19663968.0,21001775.0
Belgium,0,3070744,81374634,26,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,10,972707,79762339,82,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,15,927599,78260125,84,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,20,913585,77762130,85,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,25,892226,77048230,86,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,30,865426,76114349,88,2654132.0,5709111.0,-3054978.0,418960.0,1093379.0,904496.0,2293034.0,1464679.0,3459728.0,3043311.0,3651304.0,2669626.0,5670662.0,2694123.0,3081705.0,1836722.0,2338655.0,1897212.0,2481621.0,2275691.0,2598599.0,3123027.0,3118885.0,5402918.0,2872577.0
Belgium,50,778290,72706113,93,2621772.0,5059634.0,-2437863.0,411727.0,1086159.0,895404.0,2268821.0,1445519.0,3434028.0,3019945.0,3621640.0,2646615.0,5629848.0,2679554.0,3067766.0,1821877.0,2315708.0,1875132.0,2436284.0,2225003.0,2540838.0,3051463.0,3059360.0,5331803.0,2814481.0
Belgium,75,576914,58762879,102,2376778.0,3650212.0,-1273434.0,350603.0,985997.0,820824.0,2057547.0,1295399.0,3133537.0,2798421.0,3323811.0,2444222.0,5193345.0,2544080.0,2945298.0,1711104.0,2128278.0,1684743.0,2149271.0,1961166.0,2223673.0,2614421.0,2658459.0,4779697.0,2485217.0
Belize,0,2198946,156971098,71,,,,,,,,,,,,,,,,,,,,,,,,,
