country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e
Curaçao,10,7536,256097,34,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,15,6912,235907,34,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,20,6320,216764,34,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,25,5844,201691,35,,,,,,,,,,,,,,,,,,,,,,,,,
Curaçao,30,5261,183297,35,775.0,14463.0,-13688.0,176.0,277.0,177.0,122.0,164.0,992.0,995.0,1267.0,1063.0,394.0,335.0,2222.0,1806.0,819.0,358.0,1204.0,236.0,265.0,678.0,560.0,1222.0,1709.0
Curaçao,50,1940,74321,38,469.0,6051.0,-5583.0,123.0,265.0,139.0,104.0,135.0,432.0,210.0,216.0,446.0,36.0,215.0,2087.0,1083.0,506.0,307.0,1071.0,28.0,101.0,273.0,438.0,991.0,1107.0
Curaçao,75,501,21906,44,313.0,2404.0,-2091.0,104.0,150.0,62.0,7.0,118.0,432.0,46.0,100.0,151.0,0.0,161.0,1906.0,237.0,402.0,289.0,967.0,0.0,25.0,195.0,225.0,490.0,827.0
Cyprus,0,571956,7150814,13,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,10,153579,7017335,46,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,15,132250,6100657,46,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,20,124799,5786328,46,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,25,103113,4869218,47,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,30,89658,4305724,48,45846.0,345236.0,-299390.0,21033.0,7337.0,5777.0,22704.0,8589.0,15109.0,243233.0,25130.0,16392.0,17860.0,36985.0,14279.0,4016.0,9257.0,7958.0,129041.0,121457.0,7019.0,13880.0,10214.0,244604.0,26746.0
Cyprus,50,53669,2766878,52,30625.0,211723.0,-181097.0,16899.0,4895.0,3520.0,15708.0,5290.0,10220.0,212220.0,14257.0,11037.0,11418.0,28047.0,5824.0,2169.0,4726.0,6388.0,81356.0,70843.0,4673.0,7683.0,5746.0,134299.0,16542.0
Cyprus,75,20061,1144378,57,14577.0,85478.0,-70901.0,10215.0,1791.0,1495.0,6778.0,1897.0,4485.0,156967.0,5307.0,4752.0,3822.0,13968.0,2908.0,1106.0,1773.0,3428.0,30678.0,26856.0,1751.0,3363.0,1665.0,29630.0,6065.0
Czech Republic,0,7883559,244314168,31,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,10,3243981,242366307,75,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,15,3183878,241180272,76,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,20,3154584,240556307,76,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,25,3124911,239950918,77,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,30,3080384,239051408,78,13028652.0,19841115.0,-6812462.0,1317834.0,2745750.0,1657497.0,5606943.0,11148222.0,3801167.0,9849251.0,7797802.0,6423699.0,7414876.0,10390571.0,6876283.0,3638969.0,6810571.0,4066080.0,12099489.0,14419747.0,21685440.0,40281912.0,56570612.0,31979023.0,20048602.0
Czech Republic,50,2879777,234258812,81,12927477.0,18511354.0,-5583877.0,1308673.0,2726927.0,1644713.0,5565036.0,11097196.0,3781242.0,9792636.0,7746461.0,6384898.0,7367790.0,10332867.0,6832116.0,3592837.0,6716998.0,4021142.0,11987087.0,14281902.0,21514142.0,39954541.0,56122476.0,31749515.0,19883293.0
Czech Republic,75,2234787,199398047,89,11633335.0,14325444.0,-2692109.0,1183179.0,2436986.0,1485840.0,5030171.0,10034677.0,3467063.0,8986785.0,7002179.0,5813584.0,6691375.0,9381316.0,6212600.0,3028540.0,5673671.0,3441626.0,10535401.0,12572069.0,19253510.0,35636334.0,50812015.0,29149428.0,18105011.0
Côte d'Ivoire,0,32165794,1365473550,42,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,10,30924773,1362532192,44,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,15,27248335,1284180002,47,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,20,18910350,1037361091,55,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,25,17992977,1004726108,56,,,,,,,,,,,,,,,,,,,,,,,,,
Côte d'Ivoire,30,14872640,885408447,60,84506243.0,110978293.0,-26472050.0,46884883.0,55693427.0,33339320.0,18507278.0,24280101.0,39974594.0,37267420.0,55035989.0,51016832.0,42911613.0,58870424.0,46952380.0,86647143.0,177879148.0,79044069.0,117071986.0,194540828.0,181514844.0,138388745.0,147781653.0,114193614.0,111341063.0
Côte d'Ivoire,50,6357505,486804280,77,51622375.0,49232587.0,2389789.0,40673018.0,47259440.0,27438557.0,14613387.0,16288225.0,31008907.0,27780187.0,41550906.0,41592268.0,34247576.0,47686284.0,37882810.0,57238406.0,104331892.0,48696873.0,62030400.0,97980195.0,98396635.0,67863486.0,74148533.0,57567205.0,59417072.0
Côte d'Ivoire,75,511083,50171756,98,7482428.0,10261208.0,-2778780.0,12735004.0,12348314.0,5358215.0,3282010.0,1971207.0,5761696.0,5468533.0,6807773.0,7124132.0,7619881.0,9949872.0,7955938.0,5147952.0,12203930.0,4821173.0,6404144.0,7543161.0,9480859.0,4862628.0,6925606.0,10963233.0,9878146.0
Democratic Republic of the Congo,0,232912781,20774862655,89,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,10,227775241,20766776276,91,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,15,226176359,20736780904,92,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,20,214447160,20509712907,96,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,25,211355457,20450861000,97,,,,,,,,,,,,,,,,,,,,,,,,,
Democratic Republic of the Congo,30,199281687,20212694813,101,516805311.0,813773946.0,-296968634.0,254170271.0,278595948.0,142534976.0,218888110.0,272197731.0,260418753.0,264377673.0,229349398.0,376130356.0,471073625.0,249851071.0,370599802.0,575304268.0,813461061.0,581987707.0,886189296.0,930789898.0,881534997.0,806185797.0,859110678.0,823631492.0,823333939.0
Democratic Republic of the Congo,50,164388383,19141748991,116,499796456.0,626958803.0,-127162347.0,251049327.0,272935697.0,136703423.0,213975683.0,264725945.0,255244142.0,255482170.0,221799488.0,363995452.0,453372260.0,241515438.0,352902011.0,556011224.0,784394098.0,563950665.0,861806377.0,897176242.0,850129531.0,781924682.0,828184717.0,793238568.0,795004884.0
Democratic Republic of the Congo,75,119056147,16463517805,138,409346479.0,390943380.0,18403099.0,222277461.0,237391670.0,109153615.0,184585498.0,230828308.0,225603157.0,219624612.0,189497279.0,317342140.0,382416848.0,199778224.0,287990801.0,475031470.0,626061155.0,461284007.0,705114194.0,704523060.0,674493823.0,641155251.0,652752559.0,623932573.0,634784840.0
Denmark,0,4314472,33777285,8,,,,,,,,,,,,,,,,,,,,,,,,,
